Date,2/11/2026,,,
Placement,Camera,Time,Side
2,Cam1,00:51:38,right
3,Cam1,00:52:16,left
4,Cam1,00:52:50,left
5,Cam1,00:53:13,right
6,Cam1,00:53:24,right
7,Cam1,00:53:34,right
8,Cam1,00:53:36,right
9,Cam1,00:53:58,left
10,Cam1,00:54:45,right
11,Cam1,00:55:20,left
12,Cam1,00:55:22,left
13,Cam1,00:55:39,right
14,Cam1,00:55:50,left
15,Cam1,00:55:59,right
16,Cam1,00:56:10,left
17,Cam1,00:57:22,right
18,Cam1,00:57:40,right
19,Cam1,00:57:43,right
20,Cam1,00:57:53,left
21,Cam1,00:58:29,right
22,Cam1,00:58:58,right
23,Cam1,01:00:08,left
24,Cam1,01:00:14,right
25,Cam1,01:00:15,right
26,Cam1,01:00:32,left
27,Cam1,01:01:11,right
28,Cam1,01:01:14,right
29,Cam1,01:01:33,left
30,Cam1,01:01:42,right
31,Cam1,01:01:49,left
32,Cam1,01:02:09,right
33,Cam1,01:02:11,right
34,Cam1,01:02:30,left
35,Cam1,01:03:01,left
36,Cam1,01:03:34,left
37,Cam1,01:03:37,left
38,Cam1,01:03:47,right
39,Cam1,01:04:07,right
40,Cam1,01:04:10,right
41,Cam1,01:04:37,right
42,Cam1,01:04:46,left
43,Cam1,01:04:52,right
44,Cam1,01:05:04,left
45,Cam1,01:05:34,right
46,Cam1,01:05:37,right
47,Cam1,01:06:20,left
48,Cam1,01:06:24,left
49,Cam1,01:07:03,right
50,Cam1,01:07:28,right
51,Cam1,01:07:30,right
52,Cam1,01:07:57,right
53,Cam1,01:08:30,right
54,Cam1,01:08:35,right
55,Cam1,01:08:38,right
56,Cam1,01:08:44,right
57,Cam1,01:08:46,right
58,Cam1,01:10:11,right
59,Cam1,01:10:20,right
60,Cam1,01:10:31,left
61,Cam1,01:10:33,left
62,Cam1,01:10:39,right
